object,count,location_raw,north,east,us_category,country,launch_year
Ranger 4,,"-15.5  ̊ N, -130.7 E",-15.5,-130.7,Non-Apollo,US,1962
Ranger 6,,"9.388  ̊ N, 21.480  ̊ E",9.388,21.48,Non-Apollo,US,1964
Ranger 7,,"-10.63  ̊ N, -20.60  ̊ E",-10.63,-20.6,Non-Apollo,US,1964
Ranger 8,,"2.638  ̊ N, 24.787  ̊ E",2.638,24.787,Non-Apollo,US,1965
Ranger 9,,"112.828  ̊ N, -2.387  ̊ E",112.828,-2.387,Non-Apollo,US,1965
Surveyor 1,,"-2.474  ̊ N, -43.339  ̊ E",-2.474,-43.339,Non-Apollo,US,1966
Lunar Orbiter 1,,"6.70  ̊ N, 162  ̊ E",6.7,162,Non-Apollo,US,1966
Surveyor 2,,"5.5  ̊ N, -12  ̊ E",5.5,-12,Non-Apollo,US,1966
Lunar Orbiter 2,,"3.0  ̊ N, 119  ̊ E",3,119,Non-Apollo,US,1966
Lunar Orbiter 3,,"14.3  ̊ N, -97.7 E",14.3,-97.7,Non-Apollo,US,1967
Surveyor 3,,"-3.015  ̊ N, -23.418  ̊ E",-3.015,-23.418,Non-Apollo,US,1967
Lunar Orbiter 4,,Crashed,Crashed,,Non-Apollo,US,1967
Surveyor 4,,UNKNOWN,UNKNOWN,,Non-Apollo,US,1967
Explorer 35 (IMP-E),,UNKNOWN,UNKNOWN,,Non-Apollo,US,1967
Lunar Orbiter 5,,"-3  ̊ N, -83  ̊ E",-3,-83,Non-Apollo,US,1967
Surveyor 5,,"1.461  ̊ N, 23.195  ̊ E",1.461,23.195,Non-Apollo,US,1967
Surveyor 6,,"0.473  ̊ N, -1.427  ̊ E",0.473,-1.427,Non-Apollo,US,1967
Surveyor 7,,"-40.980  ̊ N, -11.509  ̊ E",-40.98,-11.509,Non-Apollo,US,1968
Explorer 49 (RAE-B),,UNKNOWN,UNKNOWN,,Non-Apollo,US,1973
Lunar Prospector,,UNKNOWN,UNKNOWN,,Non-Apollo,US,1998
LCROSS Shepherding Spacecraft,,"-84.72  ̊ N, -49.62  ̊ E (South Pole)",-84.72,-49.62,Non-Apollo,US,2009
LCROSS Centaur,,"-84.9  ̊ N, -35.5  ̊ E (South Pole)",-84.9,-35.5,Non-Apollo,US,2009
Landing Location,,"0.41  ̊ N, 23.26  ̊ E",0.41,23.26,Apollo 11,US,1969
Passive Seismic Experiment (see below),,,,,Apollo 11,US,1969
Gold Olive Branch,1,,,,Apollo 11,US,1969
Flag Kit,1,,,,Apollo 11,US,1969
"Apollo 1 Patch(Honoring deceased astronauts Grissom,White, Chaffee)",1,,,,Apollo 11,US,1969
"CosmonautMedals(Honoring deceased cosmonauts Gagarin,Komarov)",2,,,,Apollo 11,US,1969
